class,precision,recall,f1,support
1Axel,0.0000,0.0000,0.0000,11
1Flip,0.0000,0.0000,0.0000,5
1Loop,0.0000,0.0000,0.0000,5
1Lutz,0.0000,0.0000,0.0000,4
1Salchow,0.0000,0.0000,0.0000,3
1Toeloop,0.0000,0.0000,0.0000,6
2Axel,0.0000,0.0000,0.0000,183
2Flip,0.0000,0.0000,0.0000,34
2Loop,0.0000,0.0000,0.0000,30
2Lutz,0.0000,0.0000,0.0000,23
2Salchow,0.0000,0.0000,0.0000,21
2Toeloop,0.0000,0.0000,0.0000,129
3Axel,0.0000,0.0000,0.0000,65
3Flip,0.0000,0.0000,0.0000,144
3Loop,0.0000,0.0000,0.0000,90
3Lutz,0.0000,0.0000,0.0000,161
3Salchow,0.0000,0.0000,0.0000,85
3Toeloop,0.0000,0.0000,0.0000,157
4Flip,0.0000,0.0000,0.0000,3
4Loop,0.0000,0.0000,0.0000,2
4Lutz,0.0000,0.0000,0.0000,5
4Salchow,0.0000,0.0000,0.0000,15
4Toeloop,0.0000,0.0000,0.0000,28
CamelSpin,0.1399,0.0402,0.0625,497
NoBasic,0.0000,0.0000,0.0000,129
Sequence,0.4702,0.9238,0.6232,1220
SitSpin,0.3404,0.8876,0.4921,525
UprightSpin,0.1313,0.0304,0.0493,428
