class,precision,recall,f1,support
1Axel,0.0000,0.0000,0.0000,11
1Flip,0.0000,0.0000,0.0000,5
1Loop,0.0000,0.0000,0.0000,5
1Lutz,0.0000,0.0000,0.0000,4
1Salchow,0.0000,0.0000,0.0000,3
1Toeloop,0.0000,0.0000,0.0000,6
2Axel,0.5914,0.6011,0.5962,183
2Flip,0.2500,0.1765,0.2069,34
2Loop,0.4737,0.3000,0.3673,30
2Lutz,0.2500,0.3043,0.2745,23
2Salchow,0.3333,0.1905,0.2424,21
2Toeloop,0.5767,0.7287,0.6438,129
3Axel,0.7400,0.5692,0.6435,65
3Flip,0.4198,0.3819,0.4000,144
3Loop,0.4425,0.5556,0.4926,90
3Lutz,0.6012,0.6087,0.6049,161
3Salchow,0.4769,0.3647,0.4133,85
3Toeloop,0.4765,0.4522,0.4641,157
4Flip,0.0000,0.0000,0.0000,3
4Loop,0.0000,0.0000,0.0000,2
4Lutz,0.0000,0.0000,0.0000,5
4Salchow,0.4000,0.1333,0.2000,15
4Toeloop,0.4706,0.2857,0.3556,28
CamelSpin,0.9565,0.9738,0.9651,497
NoBasic,0.7482,0.8062,0.7761,129
Sequence,0.9440,0.9943,0.9685,1220
SitSpin,0.9617,0.9562,0.9589,525
UprightSpin,0.9216,0.9065,0.9140,428
