class,precision,recall,f1,support
1Axel,0.0000,0.0000,0.0000,11
1Flip,0.0000,0.0000,0.0000,5
1Loop,0.0000,0.0000,0.0000,5
1Lutz,0.0000,0.0000,0.0000,4
1Salchow,0.0000,0.0000,0.0000,3
1Toeloop,0.0000,0.0000,0.0000,6
2Axel,0.5238,0.6612,0.5845,183
2Flip,0.2000,0.1765,0.1875,34
2Loop,0.5000,0.1333,0.2105,30
2Lutz,0.3043,0.3043,0.3043,23
2Salchow,0.3000,0.1429,0.1935,21
2Toeloop,0.4929,0.8062,0.6118,129
3Axel,0.7200,0.5538,0.6261,65
3Flip,0.4697,0.4306,0.4493,144
3Loop,0.4444,0.5333,0.4848,90
3Lutz,0.5974,0.5714,0.5841,161
3Salchow,0.3750,0.2118,0.2707,85
3Toeloop,0.4366,0.3949,0.4147,157
4Flip,0.0000,0.0000,0.0000,3
4Loop,0.0000,0.0000,0.0000,2
4Lutz,0.0000,0.0000,0.0000,5
4Salchow,0.2000,0.0667,0.1000,15
4Toeloop,0.6000,0.2143,0.3158,28
CamelSpin,0.9643,0.9779,0.9710,497
NoBasic,0.7797,0.7132,0.7449,129
Sequence,0.9594,0.9885,0.9738,1220
SitSpin,0.9584,0.9657,0.9620,525
UprightSpin,0.9104,0.9019,0.9061,428
