class,precision,recall,f1,support
1Axel,0.0000,0.0000,0.0000,11
1Flip,0.0000,0.0000,0.0000,5
1Loop,0.0000,0.0000,0.0000,5
1Lutz,0.0000,0.0000,0.0000,4
1Salchow,0.0000,0.0000,0.0000,3
1Toeloop,0.2500,0.1667,0.2000,6
2Axel,0.4900,0.6721,0.5668,183
2Flip,0.2308,0.0882,0.1277,34
2Loop,0.5455,0.2000,0.2927,30
2Lutz,0.3077,0.1739,0.2222,23
2Salchow,0.6250,0.2381,0.3448,21
2Toeloop,0.5804,0.6434,0.6103,129
3Axel,0.7143,0.4615,0.5607,65
3Flip,0.4000,0.3333,0.3636,144
3Loop,0.5063,0.4444,0.4734,90
3Lutz,0.5872,0.6273,0.6066,161
3Salchow,0.4051,0.3765,0.3902,85
3Toeloop,0.4410,0.5478,0.4886,157
4Flip,0.0000,0.0000,0.0000,3
4Loop,0.0000,0.0000,0.0000,2
4Lutz,0.0000,0.0000,0.0000,5
4Salchow,0.6667,0.1333,0.2222,15
4Toeloop,0.5000,0.1429,0.2222,28
CamelSpin,0.9697,0.9658,0.9677,497
NoBasic,0.7305,0.7984,0.7630,129
Sequence,0.9475,0.9910,0.9688,1220
SitSpin,0.9750,0.9638,0.9693,525
UprightSpin,0.9087,0.9065,0.9076,428
