run,best_val_acc,best_epoch,final_train_acc,n_epochs,history_file
ablation_A1_pose_only,0.405688622754491,4,0.19274319674695026,9,pose_training_history.npy
ablation_A1_pose_only_coarse,0.9214071856287425,26,0.9071004066312167,30,pose_training_history.npy
ablation_A1_pose_only_set,0.8727544910179641,26,0.8440412887081639,30,pose_training_history.npy
ablation_A2_no_class_weights,0.8166167664670658,20,0.993306224585549,25,pose_training_history.npy
ablation_A2_no_class_weights_seed43,0.8041417165668663,13,0.9858617453862997,18,pose_training_history.npy
ablation_A3_no_quality_head,0.810129740518962,23,0.9982483578354707,28,pose_training_history.npy
ablation_A5_late_fusion,0.81187624750499,17,0.9929308726931498,22,pose_training_history.npy
v1_baseline_coarse_noaug,0.969061876247505,10,0.9998748827025337,15,training_history.npy
v1_baseline_no_aug,0.8096307385229541,22,0.9999374413512668,27,training_history.npy
v1_baseline_set_noaug,0.966566866267465,13,0.9999374413512668,18,training_history.npy
v2_baseline_aug,0.8053892215568862,16,0.9981232405380044,21,training_history.npy
v2_baseline_coarse_aug,0.9728043912175649,20,0.999687206756334,25,training_history.npy
v2_baseline_set_aug,0.9620758483033932,5,0.9955583359399437,10,training_history.npy
v2_pose_aug,0.810129740518962,15,0.9945573975602127,20,pose_training_history.npy
v2_pose_aug_seed44,0.8096307385229541,17,0.9944322802627463,22,pose_training_history.npy
v2_pose_aug_seed45,0.8031437125748503,26,0.9954332186424774,30,pose_training_history.npy
v2_pose_coarse_aug,0.968313373253493,7,0.9976853299968721,12,pose_training_history.npy
v2_pose_set_aug,0.9660678642714571,16,0.9994995308101345,21,pose_training_history.npy
