class,precision,recall,f1,support
1Axel,0.0000,0.0000,0.0000,11
1Flip,0.0000,0.0000,0.0000,5
1Loop,0.0000,0.0000,0.0000,5
1Lutz,0.0000,0.0000,0.0000,4
1Salchow,0.0000,0.0000,0.0000,3
1Toeloop,0.2500,0.1667,0.2000,6
2Axel,0.5918,0.6339,0.6121,183
2Flip,0.2083,0.1471,0.1724,34
2Loop,0.3636,0.1333,0.1951,30
2Lutz,0.3889,0.3043,0.3415,23
2Salchow,0.3333,0.1429,0.2000,21
2Toeloop,0.6077,0.6124,0.6100,129
3Axel,0.6230,0.5846,0.6032,65
3Flip,0.4718,0.4653,0.4685,144
3Loop,0.5062,0.4556,0.4795,90
3Lutz,0.5115,0.5528,0.5313,161
3Salchow,0.4337,0.4235,0.4286,85
3Toeloop,0.4183,0.5541,0.4767,157
4Flip,0.0000,0.0000,0.0000,3
4Loop,0.0000,0.0000,0.0000,2
4Lutz,0.0000,0.0000,0.0000,5
4Salchow,0.4000,0.1333,0.2000,15
4Toeloop,0.5000,0.2500,0.3333,28
CamelSpin,0.9486,0.9658,0.9571,497
NoBasic,0.8588,0.5659,0.6822,129
Sequence,0.9594,0.9877,0.9733,1220
SitSpin,0.9481,0.9733,0.9605,525
UprightSpin,0.8820,0.9252,0.9031,428
